"","Var1","Var2","value","pvalue","pvalue_cor","star","value2plot","conv_ttype_1","conv_ttype_2"
"196","MEGLU4","MEINH9",-0.226169893266067,0.82106928563047,0.977693456590577,"",NA,"SCEXC4","SCINH7"
"197","MEGLU5","MEINH9",1.06045306301928,0.288938532663307,0.87992861900656,"",NA,"SCEXC5","SCINH7"
"198","MEGLU6","MEINH9",-0.911430569191028,0.362068552926433,0.87992861900656,"",NA,"SCEXC6","SCINH7"
"199","MEINH2","MEINH9",1.45744105014316,0.144994672624888,0.87992861900656,"",NA,"SCINH1","SCINH7"
"200","MEINH3","MEINH9",1.30896575893532,0.190545949703759,0.87992861900656,"",NA,"SCINH2","SCINH7"
"201","MEINH5","MEINH9",-0.0916332053708265,0.926989468355985,0.977693456590577,"",NA,"SCINH3","SCINH7"
"202","MEINH6","MEINH9",0.0767348653227073,0.938834467783165,0.977693456590577,"",NA,"SCINH4","SCINH7"
"203","MEINH7","MEINH9",1.43870218041198,0.150234921309987,0.87992861900656,"",NA,"SCINH5","SCINH7"
"204","MEINH8","MEINH9",-1.35331890526842,0.175953772093331,0.87992861900656,"",NA,"SCINH6","SCINH7"
"205","MEINH9","MEINH9",-0.490011003734453,0.624126112341031,0.977693456590577,"",NA,"SCINH7","SCINH7"
"206","MEINH10","MEINH9",0.938513437884964,0.34798061442551,0.87992861900656,"",NA,"SCINH8","SCINH7"
"207","MEINH11","MEINH9",-0.3779802516261,0.705445264517588,0.977693456590577,"",NA,"SCINH9","SCINH7"
"208","MEINH12","MEINH9",-1.69122348892434,0.090794126466313,0.87992861900656,"",NA,"SCINH10","SCINH7"
"209","MEGLU1","MEINH10",-1.36375424104146,0.172644926413069,0.87992861900656,"",NA,"SCEXC1","SCINH8"
"210","MEGLU2","MEINH10",-0.974860179400007,0.329629620941877,0.87992861900656,"",NA,"SCEXC2","SCINH8"
"211","MEGLU3","MEINH10",-0.952266805065479,0.340961688185214,0.87992861900656,"",NA,"SCEXC3","SCINH8"
"212","MEGLU4","MEINH10",1.46187213089307,0.143776253271074,0.87992861900656,"",NA,"SCEXC4","SCINH8"
"213","MEGLU5","MEINH10",-0.715801471400517,0.47411394374778,0.955479220729165,"",NA,"SCEXC5","SCINH8"
"214","MEGLU6","MEINH10",-0.41980254543809,0.674629705238945,0.977693456590577,"",NA,"SCEXC6","SCINH8"
"215","MEINH2","MEINH10",0.323617917142398,0.746227321443805,0.977693456590577,"",NA,"SCINH1","SCINH8"
"216","MEINH3","MEINH10",-0.965917245131366,0.334085592321762,0.87992861900656,"",NA,"SCINH2","SCINH8"
"217","MEINH5","MEINH10",-0.438142778105337,0.661282785966982,0.977693456590577,"",NA,"SCINH3","SCINH8"
"218","MEINH6","MEINH10",-0.316626500518313,0.751527025100778,0.977693456590577,"",NA,"SCINH4","SCINH8"
"219","MEINH7","MEINH10",-0.0251361786170715,0.97994634292801,0.987662455864451,"",NA,"SCINH5","SCINH8"
"220","MEINH8","MEINH10",0.168300120407236,0.866347179142618,0.977693456590577,"",NA,"SCINH6","SCINH8"
"221","MEINH9","MEINH10",0.938513437884964,0.34798061442551,0.87992861900656,"",NA,"SCINH7","SCINH8"
